249.56	0	1
258.7047	1	1
250.8006	2	1
321.4398	3	1
356.8519	4	1
414.6901	5	1
382.2038	6	1
290.1486	7	1
430.5853	8	1
466.3535	9	1
222.7339	0	2
205.2658	1	2
202.9778	2	2
204.707	3	2
207.7161	4	2
215.9618	5	2
213.6303	6	2
217.7272	7	2
224.2957	8	2
237.3142	9	2
199.0539	0	3
194.3322	1	3
234.32	2	3
232.8416	3	3
229.3074	4	3
220.4579	5	3
235.4208	6	3
255.7511	7	3
261.0125	8	3
247.5153	9	3
321.5426	0	4
300.4002	1	4
283.8565	2	4
285.133	3	4
285.7973	4	4
297.5855	5	4
280.2396	6	4
318.2613	7	4
305.3495	8	4
354.0487	9	4
287.6079	0	5
285	1	5
301.8206	2	5
320.1153	3	5
316.2773	4	5
293.3187	5	5
290.075	6	5
334.8177	7	5
293.7469	8	5
371.5811	9	5
234.8606	0	6
242.8118	1	6
272.9613	2	6
309.7688	3	6
317.4629	4	6
309.9976	5	6
454.1619	6	6
346.8311	7	6
330.3003	8	6
253.8644	9	6
283.8424	0	7
289.555	1	7
276.7693	2	7
299.8097	3	7
297.171	4	7
338.1665	5	7
332.0265	6	7
348.8399	7	7
333.36	8	7
362.0428	9	7
265.4731	0	8
276.2012	1	8
243.3647	2	8
254.6723	3	8
279.0244	4	8
284.1912	5	8
305.5248	6	8
331.5229	7	8
335.7469	8	8
377.299	9	8
241.6083	0	9
273.9472	1	9
254.4907	2	9
270.8021	3	9
251.4519	4	9
254.6362	5	9
245.4523	6	9
235.311	7	9
235.7541	8	9
237.2466	9	9
312.3666	0	10
313.8058	1	10
291.6112	2	10
346.1222	3	10
365.7324	4	10
391.8385	5	10
404.2601	6	10
416.6923	7	10
455.8643	8	10
458.9167	9	10
236.1032	0	11
230.3167	1	11
238.9256	2	11
254.922	3	11
250.7103	4	11
269.7744	5	11
281.5648	6	11
308.102	7	11
336.2806	8	11
351.6451	9	11
256.2968	0	12
243.4543	1	12
256.2046	2	12
255.5271	3	12
268.9165	4	12
329.7247	5	12
379.4445	6	12
362.9184	7	12
394.4872	8	12
389.0527	9	12
250.5265	0	13
300.0576	1	13
269.8939	2	13
280.5891	3	13
271.8274	4	13
304.6336	5	13
287.7466	6	13
266.5955	7	13
321.5418	8	13
347.5655	9	13
221.6771	0	14
298.1939	1	14
326.8785	2	14
346.8555	3	14
348.7402	4	14
352.8287	5	14
354.4266	6	14
360.4326	7	14
375.6406	8	14
388.5417	9	14
271.9235	0	15
268.4369	1	15
257.2424	2	15
277.6566	3	15
314.8222	4	15
317.2135	5	15
298.1353	6	15
348.1229	7	15
340.28	8	15
366.5131	9	15
225.264	0	16
234.5235	1	16
238.9008	2	16
240.473	3	16
267.5373	4	16
344.1937	5	16
281.1481	6	16
347.5855	7	16
365.163	8	16
372.2288	9	16
269.8804	0	17
272.4428	1	17
277.8989	2	17
281.7895	3	17
279.1705	4	17
284.512	5	17
259.2658	6	17
304.6306	7	17
350.7807	8	17
369.4692	9	17
269.4117	0	18
273.474	1	18
297.5968	2	18
310.6316	3	18
287.1726	4	18
329.6076	5	18
334.4818	6	18
343.2199	7	18
369.1417	8	18
364.1236	9	18
